Division,Line,Station Name,Station Latitude,Station Longitude,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Entrance Type,Entry,Exit Only,Vending,Staffing,Staff Hours,ADA,ADA Notes,Free Crossover,North South Street,East West Street,Corner,Entrance Latitude,Entrance Longitude,Station Location,Entrance Location
BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,NONE,,False,,False,4th Ave,25th St,SW,40.660489,-73.99822,"{'longitude': '-73.998091', 'latitude': '40.660397'}","{'longitude': '-73.99822', 'latitude': '40.660489'}"
BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NW,40.654676,-74.004306,"{'longitude': '-74.003549', 'latitude': '40.655144'}","{'longitude': '-74.004306', 'latitude': '40.654676'}"
BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NE,40.649389,-74.009333,"{'longitude': '-74.010006', 'latitude': '40.648939'}","{'longitude': '-74.009333', 'latitude': '40.649389'}"
BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SW,40.644756,-74.014586,"{'longitude': '-74.014034', 'latitude': '40.645069'}","{'longitude': '-74.014586', 'latitude': '40.644756'}"
BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NW,40.641606,-74.017897,"{'longitude': '-74.017881', 'latitude': '40.641362'}","{'longitude': '-74.017897', 'latitude': '40.641606'}"
BMT,4 Avenue,77th St,40.629742,-74.02551,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,77th St,NW,40.62955,-74.025731,"{'longitude': '-74.02551', 'latitude': '40.629742'}","{'longitude': '-74.025731', 'latitude': '40.62955'}"
BMT,4 Avenue,86th St,40.622687,-74.028398,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,86th St,SE,40.622583,-74.028315,"{'longitude': '-74.028398', 'latitude': '40.622687'}","{'longitude': '-74.028315', 'latitude': '40.622583'}"
BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,95th St,SW,40.616021,-74.031383,"{'longitude': '-74.030876', 'latitude': '40.616622'}","{'longitude': '-74.031383', 'latitude': '40.616021'}"
BMT,4 Avenue,9th St,40.670847,-73.988302,F,G,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,9th St,NE,40.670387,-73.98848,"{'longitude': '-73.988302', 'latitude': '40.670847'}","{'longitude': '-73.98848', 'latitude': '40.670387'}"
BMT,4 Avenue,Atlantic Av-Barclays Ctr,40.683666,-73.97881,B,Q,D,N,R,2,3,4.0,5.0,,,Elevator,YES,,YES,FULL,,True,,True,4th Ave,Pacific St,NE,40.683805,-73.978487,"{'longitude': '-73.97881', 'latitude': '40.683666'}","{'longitude': '-73.978487', 'latitude': '40.683805'}"
